   153	TEH	35.752	51.389	1458
   154	TEHA	35.746	51.387	1418
   155	TKDS	33.613	57.122	1206
   156	TNSJ	33.963	56.609	1123
   157	TPRV	33.028	56.686	1022
   158	TVBK	29.986	56.761	2530
   159	TVRZ	38.504	46.668	1693
   160	VIS	34.528	46.851	1833
   161	VRN	34.995	51.727	1139
   162	ZEF	32.896	52.329	2320
   163	ZHDN	29.399	60.810	1511
   164	ZNGN	32.117	50.854	2662
   165	RAYN	23.522	45.503	631
   166	WBK	22.610	58.970	450
   167	HOQ	23.582	57.310	350
   168	UOSS	24.945	56.204	284
   169	EIL	29.669	34.951	210
   170	MMLI	32.438	35.422	511
   171	CSS	34.961	33.331	396
   172	GAZ	37.172	37.209	992
   173	BNN	38.852	35.847	1380
   174	ANTO	39.868	32.793	1090
   175	SNOP	42.019	35.206	180
   176	SIRT	37.501	42.439	1038
   177	GURO	38.550	42.032	1388
   178	KARS	40.615	43.093	1747
   179	KIV	43.955	42.686	1054
   180	ABKAR	49.255	59.943	362
   181	GEZN	39.283	67.715	1485
   182	SHAA	37.562	68.122	868
   183	KBU	34.515	69.134	1820
   184	GNI	40.148	44.741	1609
   185  BAGH	32.782  59.204  2581
   186  DSBU    28.362  51.260  656
   187  GAS1    38.386  48.840  29
   188  GLG1    34.113  45.909  949	
   189  JASK    25.867  57.866  234
   190  KAZ2    29.625  51.639  850
   191  KGS1    34.505  45.588  362
   192  KLST    36.518  51.058  2691
   193  MZPU    36.439  51.568  2023
   194  SDS1    36.149  45.458  1591
   195  SNQR    34.857  47.628  2502
   196  TAFT    31.722  54.171  2036
   197  TAPT    34.884  57.159  1248
   198  TBHD    35.413  59.236  1760
   199  ZRDN    30.967  56.535  2030
   200  ILBA    33.624  46.207  805    

