49.23491	31.19451  Aghajari f.
49.32555	31.09289
49.38055	31.04387
49.40762	31.02785
49.43412	31.02316
49.46321	31.03279
49.50284	31.02858
49.53357	31.00415
49.64693	30.89742
49.87201	30.62946
>>
48.17914	31.67633  Ahvaz f.
48.25527	31.62039
48.408	        31.55093
48.56961	31.43908
48.70379	31.33999
48.79454	31.30698
49.01386	31.14581
>>
49.64686	33.01976  Ardal f.
49.84725	32.71299
49.89984	32.63631
50.08566	32.49485
50.37768	32.26396
50.88963	31.89035
>>
47.3065	        33.05369   Balarud f.z.
47.74098	32.87414
47.8646	        32.7939
47.92933	32.76722
47.97702	32.75965
48.05602	32.75364
48.10717	32.75286
>>
48.33994	32.80556   Balarud f.z.
48.43682	32.80542
48.49641	32.81512
48.5468	        32.8275
48.58605	32.82932
48.61745	32.83076
48.66557	32.81627
48.73903	32.77285
48.81163	32.74269
48.87399	32.68533
>>
48.0541	        32.8403   Balarud f.z.
48.10365	32.81301
48.15418	32.79173
48.219	        32.78777
48.2626	        32.78058
48.31812	32.77326
48.37736	32.76942
48.44793	32.77278
48.56931	32.78181
>>
53.96507	27.90437  Beriz f.
54.13769	27.82977
54.3495	        27.7637
54.43322	27.75919
>>
53.73964	33.14171   Biabanak f.
53.93531	33.21033
54.18662	33.25752
54.37783	33.29579
54.5239	        33.32959
54.74086	33.40963
54.96859	33.51892
55.14658	33.64927
55.24305	33.68676
>>
58.89313	36.90877  Binalud f.
58.99171	36.86797
59.07803	36.80812
59.20443	36.72545
59.30468	36.64898
59.40881	36.60052
59.5467	        36.56821
59.6027	        36.5552
59.66412	36.52603
59.75341	36.45852
59.82888	36.38274
59.95909	36.22139
60.09328	36.06149
60.16777	35.95198
60.2289	        35.82929
>>
58.53052	36.80365   Binalud f.
58.56488	36.6718
58.60557	36.57678
58.67643	36.51424
58.75711	36.47249
58.76699	36.45447
58.77262	36.43837
58.78271	36.42388
58.82662	36.39046
59.01637	36.27912
59.02411	36.26294
59.06741	36.22242
59.12848	36.18823
59.21074	36.11077
